filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_13_ch_185_strand.fast5	87bf8746-3b0c-4248-95b9-a975a2c0fe56	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	185	1	27.275896	10.842961	2721	TRUE	28.952523	2300	9.166335	711	9.847383	0.000000	113.368736	16.215504
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_31_ch_124_strand.fast5	e80e1f4a-e0b5-4d46-9148-e2759a39ec41	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	124	1	71.076361	11.967795	3003	TRUE	73.825365	2313	9.218792	618	10.450173	0.000000	112.110634	15.935925
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_71_ch_32_strand.fast5	023233b6-c26d-40b2-8a35-64c0e5bf1ca2	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	32	1	104.903718	17.646414	4429	TRUE	107.766600	3710	14.783533	1203	9.340238	0.000000	121.476486	14.677826
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_22_ch_193_strand.fast5	0d40977e-9bb6-4d0b-8f6b-42dbf2a016b0	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	193	2	36.944555	3.268260	820	FALSE	39.121846	273	1.090969	70	5.206203	0.000000	124.132477	7.828174
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_35_ch_215_strand.fast5	f0ba4450-98c2-4f75-8338-2e811b318f0d	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	215	1	105.815737	18.362882	4609	TRUE	108.445883	3948	15.732736	1132	10.085305	0.000000	115.185989	16.774658
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_25_ch_176_strand.fast5	a83ac315-7d3c-41b3-bef4-f57625e49a01	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	176	4	67.531208	11.429615	2868	TRUE	71.638446	1837	7.322377	393	7.553055	0.000000	116.863457	13.419727
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_56_ch_90_strand.fast5	799559a7-60fe-4ac4-a6c6-973883ceb5c5	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	90	1	95.906042	20.226096	5076	TRUE	97.963147	4560	18.168991	1468	8.404278	0.000000	135.035995	14.398249
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_70_ch_154_strand.fast5	25a0ceb0-b15c-4af9-9631-0ee622c9775c	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	154	1	108.887118	11.984064	3008	TRUE	111.181939	2432	9.689243	646	7.098477	0.000000	124.132477	14.677826
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_29_ch_107_strand.fast5	3a6b6b79-8081-4bfc-8688-a9138a8d01e7	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	107	4	86.664011	7.467131	1874	FALSE	89.795153	1088	4.335989	309	6.991865	0.000000	105.680351	15.516560
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_61_ch_353_strand.fast5	0e9d9f55-a01e-4a62-b628-86656e1f2ac9	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	353	1	158.778220	9.130810	2291	TRUE	161.029216	1726	6.879814	419	10.056853	0.000000	109.175072	15.516560
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_382_ch_141_strand.fast5	27b69fa0-83f9-48f5-87bc-697ce0e427b8	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	141	1	182.994024	7.608234	1909	TRUE	185.091633	1383	5.510624	492	9.375773	0.000000	116.444092	14.957404
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_6_ch_112_strand.fast5	e4d7dc03-3661-4a53-9409-7dbc46a991b3	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	112	1	10.708499	4.672975	1172	FALSE	10.708499	1172	4.672975	85	4.694031	0.000000	122.455009	11.602472
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_30_ch_158_strand.fast5	af277aac-0656-415a-a407-6aa0c6fafbc2	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	158	1	71.872510	11.423639	2867	TRUE	74.938579	2097	8.357570	570	8.745075	0.000000	116.444092	13.279938
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_40_ch_339_strand.fast5	c74e2caf-064b-4d5f-bf31-e82d9b60f018	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	339	1	53.401726	3.365870	844	FALSE	53.401726	844	3.365870	15	4.563426	0.000000	104.701828	8.247540
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_4_ch_22_strand.fast5	2d44fc22-0610-4962-adf3-83017f7361a3	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	22	1	11.172643	18.242032	4578	TRUE	13.362882	4029	16.051793	1081	9.052108	0.000000	111.411690	15.376770
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_23_ch_469_strand.fast5	55467d8f-ed91-422b-a835-ecd12e8d2969	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	469	1	69.190239	4.823373	1210	TRUE	70.955511	767	3.058101	281	8.887110	0.000000	101.067314	13.279938
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_55_ch_390_strand.fast5	175dc331-00d8-42e0-93e9-ef1c42882713	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	390	1	104.321713	3.438911	863	FALSE	104.321713	863	3.438911	58	5.217835	0.000000	98.551117	8.107752
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_53_ch_441_strand.fast5	08c2797e-a1db-47da-883b-c3a8ece61d35	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	441	4	148.686587	4.734396	1188	FALSE	151.318061	527	2.102922	4	4.150799	0.000000	124.551842	1.397888
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_65_ch_406_strand.fast5	86527b8b-bef3-4d46-8bf6-198e40a63d3a	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	406	3	126.614874	3.304781	829	FALSE	126.614874	829	3.304781	61	4.985044	0.000000	96.034920	9.086273
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_51_ch_95_strand.fast5	891c420d-b836-4d21-8481-0fca3085721f	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	95	3	105.877822	7.913679	1986	TRUE	107.490372	1581	6.301129	505	9.369614	0.000000	118.121552	13.000360
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_65_ch_480_strand.fast5	fdc4cc7d-ebb3-46c2-a511-d6f638fe524f	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	480	4	100.958831	37.993360	9536	TRUE	101.105578	9499	37.846614	1859	9.321604	0.000000	127.207825	13.978882
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_51_ch_461_strand.fast5	533affe1-0548-411f-9b32-0fd1d046e0b7	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	461	1	97.006972	29.441235	7389	TRUE	100.680279	6467	25.767928	1769	9.434051	0.000000	114.766624	16.215504
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_67_ch_191_strand.fast5	ceb7015f-cf79-44ae-b3c1-56518f050572	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	191	3	110.135790	4.203851	1055	FALSE	110.268592	1021	4.071049	126	5.332550	0.000000	102.604996	12.441205
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_60_ch_199_strand.fast5	abac144d-138a-4435-819a-c2cac970d342	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	199	1	121.265604	9.242364	2319	FALSE	121.265604	2319	9.242364	154	5.648007	0.000000	102.744781	16.075714
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_127_ch_274_strand.fast5	22e24d59-4f0e-497a-97c2-74862c3ea57b	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	274	1	201.062749	3.019588	757	FALSE	201.062749	757	3.019588	54	4.294845	0.000000	97.991966	5.311975
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_6_ch_94_strand.fast5	da1e91a8-17cd-4976-8eaa-cd666913bd12	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	94	3	9.113878	6.267596	1573	FALSE	12.939907	612	2.441567	96	6.329739	0.000000	116.863457	6.150708
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_26_ch_205_strand.fast5	8a74a0e7-3a78-4eef-a69c-e850e624b945	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	205	1	47.071713	11.356574	2850	TRUE	51.681607	1693	6.746680	347	8.373690	0.000000	122.035645	14.538037
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_69_ch_471_strand.fast5	309e563f-beb2-4bb8-843a-c0c8d54368fe	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	471	4	116.483732	4.632470	1162	FALSE	116.616534	1129	4.499668	100	3.607639	0.000000	94.497246	3.634509
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_31_ch_193_strand.fast5	7e20f630-0ef3-4ffc-a37a-c98c7d29ab29	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	193	2	71.403386	9.384794	2355	TRUE	73.593958	1805	7.194223	593	9.890964	0.000000	112.669792	16.215504
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_33_ch_348_strand.fast5	b688626d-ca2a-46cf-8b18-ab5b2f691bf6	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	348	1	65.680611	3.319721	833	FALSE	65.680611	833	3.319721	16	2.489306	0.000000	136.433884	2.935565
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_51_ch_375_strand.fast5	d401d13a-7ee9-491d-9077-6b45a07e13ef	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	375	1	78.554117	4.742696	1190	FALSE	81.983068	329	1.313745	52	2.371623	0.000000	123.992683	4.193665
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_104_ch_160_strand.fast5	3f7e22f6-76b5-40f9-870e-41e2268a71f5	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	160	1	213.013612	4.078353	1023	FALSE	213.013612	1023	4.078353	94	4.427413	0.000000	105.540558	14.538037
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_68_ch_295_strand.fast5	a2deba5c-016d-4839-a472-5bc6db792359	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	295	1	164.014276	5.954847	1494	FALSE	165.288845	1174	4.680279	217	3.456190	0.000000	119.659233	6.709864
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_10_ch_108_strand.fast5	2495efc0-0740-48c2-b396-77ebe9568547	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	108	4	25.934595	13.655378	3427	TRUE	28.446879	2796	11.143094	876	9.090473	0.000000	109.035278	14.677826
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_70_ch_402_strand.fast5	69bdb7f5-8f0c-4e2c-825c-16c2610e90ca	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	402	3	107.264940	3.467795	870	FALSE	110.051461	171	0.681275	1	2.922608	0.000000	141.885651	1.817255
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_31_ch_398_strand.fast5	6fe3275d-e9fe-4689-95af-662550340b34	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	398	4	58.795153	13.771248	3456	TRUE	62.601262	2501	9.965139	830	8.661194	0.000000	118.960289	14.957404
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_114_ch_88_strand.fast5	7507a807-ba8f-4e9b-9396-63c566a2fea8	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	88	1	103.692563	5.115206	1283	FALSE	103.692563	1283	5.115206	34	2.777011	0.000000	100.927528	5.311975
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_24_ch_146_strand.fast5	bf2df6bc-ed41-4467-b554-2ea8d606b662	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	146	1	25.369522	14.977756	3759	TRUE	27.107902	3323	13.239376	1105	9.677287	0.000000	120.777542	16.774658
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_61_ch_452_strand.fast5	e9646fa3-a596-44d5-93bb-63ea6e820acf	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	452	1	123.294821	14.981408	3760	TRUE	125.924967	3100	12.351262	1030	9.526927	0.000000	108.895493	15.796137
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_49_ch_390_strand.fast5	d0a0e141-1e8a-4cb1-a87d-48639a8ad885	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	390	1	84.752656	9.378154	2353	FALSE	84.885458	2320	9.245352	81	4.443676	0.000000	100.088799	9.925006
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_19_ch_396_strand.fast5	5069f9ce-9903-4e83-ae67-96cbd9ce1dcc	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	396	1	38.552789	55.578021	13950	TRUE	40.310757	13508	53.820053	4932	10.366791	0.000000	115.605354	16.774658
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_62_ch_263_strand.fast5	cad04d2f-6a46-485c-8cd7-ff79e8459d73	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	263	3	132.562417	6.390106	1603	TRUE	135.928951	758	3.023572	238	9.402591	0.000000	110.992325	14.398249
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_66_ch_38_strand.fast5	57c7630e-4096-43e0-86e1-f326e19595bd	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	38	3	123.301129	6.455511	1620	FALSE	123.301129	1620	6.455511	72	4.570593	0.000000	108.895493	11.043317
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_62_ch_451_strand.fast5	76764f49-0e33-4aea-acf4-84683eeb8625	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	451	4	116.242032	21.192563	5319	TRUE	118.074037	4859	19.360558	1683	10.889169	0.000000	117.562401	15.236981
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_64_ch_319_strand.fast5	b5002358-3cc8-4a68-acbb-2919d7436034	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	319	3	149.799801	12.302789	3088	FALSE	149.799801	3088	12.302789	199	4.037754	0.000000	135.734940	9.505640
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_50_ch_198_strand.fast5	0543afde-d226-4ca6-9d12-99fb69b23ca9	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	198	3	102.958167	15.563745	3906	TRUE	104.304781	3568	14.217131	1112	9.153441	0.000000	121.336700	13.978882
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_105_ch_474_strand.fast5	369ccaeb-f169-4c33-b426-22a3054ce368	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	474	3	176.843625	3.036189	762	FALSE	176.843625	762	3.036189	44	4.287362	0.000000	102.045837	18.172546
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_50_ch_486_strand.fast5	86b2d41d-8044-480c-b8d3-327ff17c82e0	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	486	1	105.540505	9.211155	2312	TRUE	109.438911	1333	5.312749	394	8.931302	0.000000	127.068039	13.559516
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_24_ch_378_strand.fast5	a4a7b70f-e77d-447d-9cef-e84475edfc15	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	378	4	38.190239	5.019920	1260	FALSE	38.190239	1260	5.019920	73	4.312520	0.000000	94.637032	7.828174
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_39_ch_419_strand.fast5	687d6112-abc5-4b76-a7ba-d66b0d817bcf	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	419	3	95.517264	28.756640	7217	TRUE	99.594290	6194	24.679615	1703	9.616533	0.000000	102.884575	15.097193
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_24_ch_476_strand.fast5	a5a9fa4a-5813-486a-a166-87885d8b60f5	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	476	4	80.399734	4.097942	1028	FALSE	83.703187	199	0.794489	10	1.707445	0.000000	127.068039	2.655988
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_139_ch_410_strand.fast5	b3e416ff-d3bf-46bd-a083-910ec7830d12	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	410	1	195.986388	4.827025	1211	TRUE	199.854250	240	0.959163	73	8.540010	0.000000	122.035645	12.720782
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_40_ch_201_strand.fast5	9811d86f-0490-467f-8d97-b0c4707923fd	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	201	3	72.513280	3.157039	792	FALSE	72.513280	792	3.157039	23	5.847981	0.000000	101.766258	10.623950
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_44_ch_307_strand.fast5	9882698c-bca4-44ea-a171-291d06d06a95	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	307	1	96.695219	3.308101	830	FALSE	99.720784	70	0.282537	2	3.019076	0.000000	125.530365	1.817255
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_157_ch_235_strand.fast5	511e1415-83b2-4ce2-bb65-886c143614b0	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	235	1	193.074701	7.016932	1761	FALSE	194.654382	1364	5.437251	414	5.361452	0.000000	69.055679	11.183105
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_22_ch_301_strand.fast5	f19c0dfa-454c-4147-9378-a89f9a07c00f	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	301	1	25.797477	9.697543	2434	TRUE	28.067729	1864	7.427291	492	8.271418	0.000000	117.841980	16.634871
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_62_ch_432_strand.fast5	eef2bb1f-29c6-4ca7-8fa5-5b1cbb93ecc3	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	432	1	116.788181	12.472776	3130	TRUE	119.386786	2478	9.874170	656	9.181046	0.000000	116.164513	14.677826
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_52_ch_243_strand.fast5	c8a33f7c-c75c-4121-8794-90f9bf1d811c	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	243	1	129.304781	9.647742	2421	FALSE	131.844622	1784	7.107902	444	5.540035	0.000000	117.841980	8.247540
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_141_ch_262_strand.fast5	8c08c304-998e-4a10-9977-4c8d368e7992	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	262	1	144.709163	3.086985	774	FALSE	144.709163	774	3.086985	50	3.091989	0.000000	126.089516	10.064795
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_24_ch_301_strand.fast5	8974c51e-3fb7-48f1-8fe7-52f91e147eb7	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	301	1	37.203851	12.714807	3191	TRUE	39.448207	2628	10.470452	841	9.436749	0.000000	110.712746	13.978882
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_14_ch_113_strand.fast5	e808e382-b4a1-44b9-8dd6-db2077a77db5	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	113	3	22.532205	3.684263	924	FALSE	22.532205	924	3.684263	17	3.109041	0.000000	128.465927	4.333454
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_70_ch_196_strand.fast5	b921ed76-8276-4a98-89bc-6894a8adfcbd	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	196	3	120.916999	18.034861	4526	TRUE	125.345950	3415	13.605910	1089	8.576866	0.000000	118.121552	14.957404
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_26_ch_63_strand.fast5	2ab36d6a-ef8e-4429-bd62-ab11ffd82a39	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	63	3	39.467795	18.960491	4759	TRUE	41.938247	4139	16.490040	1333	8.696663	0.000000	110.572960	13.279938
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_101_ch_81_strand.fast5	4634fece-8ae7-4c95-a14a-edc0b5084145	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	81	2	192.404714	25.075697	6294	TRUE	195.647742	5480	21.832669	1989	9.841725	0.000000	118.401131	15.656348
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_37_ch_88_strand.fast5	cce78616-0b3a-4d7c-9e2e-963d9c04f8c6	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	88	1	30.496680	5.479416	1375	FALSE	32.017596	993	3.958499	276	4.604344	0.000000	85.271179	9.645429
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_114_ch_459_strand.fast5	4e3c4de2-d9aa-4c4f-a596-cb24518991ed	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	459	1	185.365870	5.525232	1386	FALSE	185.781873	1282	5.109230	267	3.928797	0.000000	115.884933	8.107752
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_29_ch_169_strand.fast5	74b37f39-1a4f-4391-83e8-2678d06eca12	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	169	1	51.847610	6.580677	1651	TRUE	53.996348	1112	4.431939	412	9.977065	0.000000	109.734222	12.441205
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_42_ch_433_strand.fast5	f99aaf38-90fb-474f-8cc7-35c3ea5e3039	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	433	1	111.929283	27.023240	6782	TRUE	114.731076	6079	24.221448	1283	7.113088	0.000000	121.756065	20.828535
